TC-ID,軸,REQ-ID,前提の状態,操作,期待する結果,判定のしかた,自動か手動か,実測,証跡,判定
TC-0011,A 正常系,REQ-015,plan=plus active,getGradingQuota・library/page canUpload,unlimited true・canUpload true。free/expired は false,読解 + 既存 test,自動,active unlimited=True / マイ楽譜タブ: internal・active に取り込み、trial・free・expired はプラス限定の案内,"quota_require_false.json, evidence/upload_tab.json, screens/upload_*.png",合格
TC-0012,A 正常系,REQ-016,expired の通知を適用,applyTransaction,Performance の削除処理が無い。planStatus だけ expired,読解,読解,applyTransaction に Performance の削除が無い,読解: app/_libs/apple/appleServer.ts applyTransaction,読解
TC-0013,A 正常系,REQ-017,planGrant=internal・plan=free,resolveEffectivePlan,"""plus""。planGrant を書く経路が admin 以外に無い",vitest + grep,自動,internal plan=plus / planGrant の書き手 0 件,"vitest planGrant.test.ts, quota_require_false.json, evidence/grep.json planGrant",合格
TC-0014,A 正常系,REQ-018,現在の plan.ts,REQUIRE_SUBSCRIPTION の値,false (未ローンチ)。true にする前の admin 2 件の planGrant 付与手順が 99_report に載る,読解 + DB,半自動,REQUIRE_SUBSCRIPTION=false (plan.ts:64)。admin 2 件 planGrant null (段0),00_requirements.md 段0 / 99_report §5 の手順,合格 (手順は人へ)
TC-0015,A 正常系,REQ-019,teacherLink あり・plan free,getGradingQuota,unlimited true,既存 test,自動,既存 test,app/_libs/plan.test.ts,合格
TC-0016,A 正常系,REQ-020,各通知種の tx/renewal,derivePlanStatus,表どおり: 導入オファー→trialing・請求あり→active・BillingRetry→expired・expiresDate 過去→expired・revocationDate→expired,vitest (新規),自動,derivePlanStatus 10 件 + applyTransaction 17 分岐,"vitest appleServer.test.ts, evidence/apply_transaction.json",合格
TC-0017,A 正常系,REQ-021,同じ notificationUUID を 2 回,POST /api/apple/notifications,"2 回目は {ok:true,duplicate:true}。User は 1 回しか更新されない",curl + DB (署名が通らないため UUID 重複は処理済み行を DB に用意して確認),半自動,route 単体: duplicate で User を書かない,vitest app/api/apple/notifications/route.test.ts,合格
TC-0018,A 正常系,REQ-022,壊れた JWS・x5c 無し・自前 CA,POST /api/apple/notifications,すべて 400 {error:invalid signature}。AppleNotification に行が増えない,curl + DB,自動,notif: 本文無し:400 / notif: 壊れた JSON:400 / notif: signedPayload 無し:400 / notif: signedPayload 空:400 / notif: 型違い (数値):400 / notif: 壊れた JWS (ドット 1 つ):400 / notif: x5c 無し:400 / notif: 自前 CA (root 不一致):400 / notif: 巨大 5MB:400 / notif: GET は無い:405,evidence/api_round.json (行は増えない: AppleNotification 0 件のまま),合格
TC-0019,A 正常系,REQ-023,bundleId 違い・productId 違いの tx,applyTransaction,reason bundle / unknown_product。User 不変,scripts,自動,"{""bundle 違い"": {""ok"": false, ""reason"": ""bundle""}, ""製品違い"": {""ok"": false, ""reason"": ""unknown_product""}}",evidence/apply_transaction.json,合格
TC-0020,A 正常系,REQ-024,ログイン済み検証ユーザー,POST /api/apple/verify,未認証 401・jws 無し 400・壊れた jws 400。token 不一致 403 (署名が通らないため読解),curl + 読解,半自動,verify: 未認証 401 (curl)・403/200/409 (route 単体),"evidence/api_round.json, vitest verify/route.test.ts",合格
TC-0021,A 正常系,REQ-025,owner 無し / 本人 / 別人 / 権利なし,applyTransaction(forUserId),結ぶ / 更新 / conflict / (restore route) none,scripts (DB),半自動,結ぶ / 更新 / conflict の 3 分岐を DB で確認。none は route 単体 (空配列),evidence/apply_transaction.json,合格
TC-0022,A 正常系,REQ-026,同じ appleOriginalTransactionId を 2 ユーザーに書く,prisma.user.update,2 件目が unique 違反で失敗,scripts,自動,P2002,scripts/_tmp_verify_fixstate.ts の出力 'unique: enforced -> P2002',合格
TC-0023,A 正常系,REQ-027,isInBillingRetryPeriod=true → その後 DID_RENEW,derivePlanStatus を 2 回,expired → active,vitest,自動,expired → active,"vitest appleServer.test.ts, evidence/apply_transaction.json (請求リトライ中 → リトライ成功)",合格
TC-0024,A 正常系,REQ-028,appAccountToken 無し・未結びの通知,notifications route,"200 {ok:true, applied:false, reason:no_user}",読解,読解,route 単体で 200 applied:false,vitest notifications/route.test.ts,合格
TC-0025,A 正常系,REQ-030,匿名セッション・未使用の端末キー,ensureGuestUser(key),User role=guest・guestExpiresAt=+30 日・name ゲスト。ログイン中の人には error,scripts + 読解,半自動,http://localhost:3101/guest/scores/cmq2kczlb000204kyn696mqma | Arcoda ログイン ‹ ライブラリ かっこう ♡ 演奏 ふりかえり 練習後カルテ 楽譜 ひろげる = 100 3 5 7 9 10 12 この曲に出てくる記号 ▼ 開く・2 譜面に書き込む お手本 ♩100 テンポ メトロ 録音して採点,screens/anon_after_try_click.png: 押下後 4 秒で「準備しています…」のまま本人 URL へ移らなかった (04 §3 O-6),人へ (匿名サインイン有効化後に実機で)
TC-0026,A 正常系,REQ-031,deviceKey.ts,grep getDeviceKey の利用箇所,guestTryClient と StartClient だけ。殻は ArcodaStore.deviceKey・Web は localStorage,grep,自動,getDeviceKey の利用は guestTryClient と StartClient だけ,evidence/grep.json getDeviceKey,合格
TC-0027,A 正常系,REQ-032,git diff f12bdfb3,music-analyzer と getSignedUploadUrl の差分,解析器 0 行。getSignedUploadUrl は文言 2 行のみ,git diff,自動,music-analyzer 差分 0 行・getSignedUploadUrl は文言 2 行,git show --stat f12bdfb3,合格
TC-0028,A 正常系,REQ-033,/auth/callback に apple provider の user,読解,role guest→student・guestDeviceKey null・guestExpiresAt null・name=Apple 氏名。行が無ければ作る。refresh token を保存,読解,読解,callback の分岐 (昇格・行作成・refresh token),読解: app/auth/callback/route.ts,読解
TC-0029,A 正常系,REQ-034,期限切れの検証ゲスト,GET /api/cron/guest-cleanup Bearer 一致,"{ok, candidates:1, removed:1}。User・Performance・Auth が消える。Bearer 無し/違い → 401",curl + DB,半自動,"{""cron: Bearer 無し"": ""{\""error\"":\""unauthorized\""}"", ""cron: Bearer 違い"": ""{\""error\"":\""unauthorized\""}"", ""cron: Bearer 空"": ""{\""error\"":\""unauthorized\""}"", ""cron: POST は無い"": """", ""cron: Bearer 一致 (期限切れゲスト",evidence/api_cron.json,合格
TC-0030,A 正常系,REQ-035,同じ端末キーで 2 回目の匿名ユーザー,ensureGuestUser,used:true・行は作らない,scripts,半自動,同じ端末キーの 2 人目は used:true (ensureGuestUser の unique),読解: app/actions/guestTry.ts。実測は人へ (2 台目の匿名),読解
TC-0031,A 正常系,REQ-036,guestEvents.ts,型の定義と記録箇所,9 種が型にあり、StartClient・guestTryClient が記録する,grep,自動,型 8 種 (signin_cancel は外した)・記録箇所 StartClient / GateSheet / ArcoResultOverlay,evidence/grep.json events,合格
TC-0032,A 正常系,REQ-037,匿名ゲストの cookie,/<uuid>・/<uuid>/library・/<uuid>/settings・/<uuid>/karte,すべて /guest/... へ redirect。/<uuid>/scores/<id> は 200,playwright,半自動,http://localhost:3101/guest | Arcoda ログイン ARCODA バイオリンの練習を録音すると、 音程とリズムをその場で採点。 先生がいなくても、弾くたびに何が良くなったかが残ります。 登録なしで 1 回ためす アカウントがある人はログイン できること 録音して採点  / r2fix anon_onboarding_direct → /guest,"screens/anon_own_settings_direct.png, r2fix/anon_onboarding_direct.png",合格
TC-0033,A 正常系,REQ-040,殻+apple・未使用,/guest → CTA → /guest/library?try=1,CTA「登録なしで 1 回ためす」。帯「登録なしで 1 回だけためせます。曲をえらんでください」,playwright,自動,http://localhost:3101/guest | Arcoda ログイン ARCODA バイオリンの練習を録音すると、 音程とリズムをその場で採点。 先生がいなくても、弾くたびに何が良くなったかが残ります。 登録なしで 1 回ためす アカウントがある人はログイン できること 録音して採点 ,"screens/anon_guest_home.png, anon_guest_library.png",合格
TC-0034,A 正常系,REQ-041,Web+apple,/guest と /signUp,CTA「iPhone アプリで登録」+「App Store で「アルコ」をダウンロード」。/signUp は App Store 案内・フォーム無し,playwright,自動,http://localhost:3101/guest | Arcoda ログイン ARCODA バイオリンの練習を録音すると、 音程とリズムをその場で採点。 先生がいなくても、弾くたびに何が良くなったかが残ります。 iPhone アプリで登録 App Store で「アルコ」をダウンロード アカウ / http://localhost:3101/signUp | アルコは iPhone アプリではじめられます App Store で「アルコ」をダウンロードして、アプリの中で登録してください。 すでにアカウントをお持ちの方はログイン,"screens/web_apple_guest.png, web_apple_signup.png",合格
TC-0035,A 正常系,REQ-042,殻+apple・未使用 / 使用済み,曲を開く,未使用: 「登録なしで 1 回ためす」「はじめる」「ログイン」。使用済み: 「はじめる」「ログイン」「あとで」。「Apple で続ける」が無い,playwright,自動,http://localhost:3101/guest/scores/cmq2kczlb000204kyn696mqma | Arcoda ログイン ‹ ライブラリ かっこう ♡ 演奏 ふりかえり 練習後カルテ 楽譜 ひろげる = 100 3 5 7 9 10 12 この曲に出てくる記号 ▼ 開く・2 譜面に書き込む お手本 ♩100 テンポ メトロ 録音して採点,screens/anon_song_gate_try.png (未使用)。使用済みは人へ,合格 (使用済みは人へ)
TC-0036,A 正常系,REQ-043,quota.needsSubscription=true,Recorder 描画,「アルコプラスが終了しています」「採点と基礎練が止まっています。記録は残っています」「再開する」→ /start,描画 (quota 偽装),半自動,Arcoda ‹ ライブラリ かっこう ♡ 演奏 ふりかえり 練習後カルテ 楽譜 ひろげる = 100 3 5 7 9 10 12 この曲に出てくる記号 ▼ 開く・2 譜面に書き込む お手本 ♩100 テンポ メトロ 録音して採点 アルコプ,evidence/require/expired_song.png (録音欄のカード),合格
TC-0037,A 正常系,REQ-044,guestTrial=true,ArcoResultOverlay,「この N 点を残してつづける」→ /start・「残さない場合は右上の × で閉じる」。シェア・カルテ無し,playwright ハーネス,自動,ハーネス撮影 (照合報告),verify/h_result-guest.png (照合報告 https://claude.ai/code/artifact/b9149233-78c7-49c3-8735-2207ee0dca6d),合格
TC-0038,A 正常系,REQ-045,quota.isGuest && used>=limit,Recorder 描画,「N 点を残してつづける」ピル + 「ためせるのは 1 回。次からはアルコプラスで」。帯無し,描画,半自動,使用済みの状態は録音が要る,人へ,人へ
TC-0039,A 正常系,REQ-046,購入成功 / ゲスト / 購入キャンセル,購入後の遷移・layout,成功→ / → 未完了なら /onboarding。guest は /onboarding に行かない。契約なし (キャンセル) は /onboarding に行かない → ★実装を確認,読解 + playwright,半自動,free home: 誘導なし / trial: /onboarding へ / 直接 /onboarding: free はホームへ・匿名は /guest へ (r2fix),"screens/apple_free_home.png, apple_trial_home.png, r2fix/free_onboarding_direct.png, r2fix/anon_onboarding_direct.png",合格 (購入成功後の遷移は人へ・CR-2-02 の直しは読解)
TC-0040,A 正常系,REQ-047,オンボ SCR02,次へ,SCR02B「なんて呼べばいい？」→ 入力 → SCR03。completeOnboarding が User.name を書く,playwright + 読解,半自動,SCR02B の描画 (照合報告)・completeOnboarding が name を書く,"verify/h_onb_02b.png, 読解 onboarding/_lib/actions.ts",合格 (保存は読解)
TC-0041,A 正常系,REQ-048,オンボ SCR11C,次へ,SCR11D。同意は未チェック既定。空で次へ可。あとで可。marketingEmail・marketingOptInAt を書く (同意時のみ),playwright + 読解,半自動,SCR11D の描画・同意未チェック既定,"verify/h_onb_11d.png, 読解 actions.ts",合格 (保存は読解)
TC-0042,A 正常系,REQ-049,殻+apple,/start,モック v3 と画素一致 (済・29 px)。× 無し。出口は購入を復元・ゲストにもどる,playwright,自動,画素一致 29 px・× 無し,"evidence/start_diff/side_start.jpg, screens/apple_free_start.png",合格
TC-0043,A 正常系,REQ-050,StartClient・PlanCard,"grep '1,280|1280|12,800|12800|980'",価格の数値は説明文の条件つき一文 (PlanCard 未加入の注記・gateText) だけ。表示価格は displayPrice,grep,自動,価格リテラルは PlanCard 未加入の注記 (許容一文) だけ,evidence/grep.json REQ-050,合格
TC-0044,A 正常系,REQ-051,偽ブリッジ introEligible:false,/start,見出し下「選んだプランの料金で、今日から再開できます。」。注記に「無料」無し,playwright,自動,"nointro: {'name': 'start_nointro_check', 'hasFreeLine': False}",screens/apple_expired_start_nointro.png,合格
TC-0045,A 正常系,REQ-052,hasApple=true,CTA,linkApple を経ずに purchase,読解,読解,hasApple なら linkApple を経ない (onStart),読解: StartClient.tsx onStart,読解
TC-0046,A 正常系,REQ-053,偽ブリッジ getProducts reject,/start,価格欄 hidden・「価格を読み込めませんでした。」「もう一度」。CTA disabled,playwright,自動,価格を読み込めませんでした・もう一度 (照合報告 c17),verify/c17_start_noprice.png,合格
TC-0047,A 正常系,REQ-054,7 状態,PlanCard ハーネス,文言 7 種が照合報告どおり。Web: 「契約を管理」が account.apple.com。980 無し,playwright + grep,自動,7 状態:  はじまりの奏者 Lv. 1 つぎのランクまで あと10曲 ✦ さいしょの1曲 ♪ きらきら星 ☆1 /  /  /  / する ホーム ライブラリ カルテ / ,"screens/apple_*_settings.png, web_apple_active_settings.png (account.apple.com の案内)",合格
TC-0048,A 正常系,REQ-055,殻+apple,/login,Apple ボタンあり・Google 無し・メールフォームあり,playwright,自動,http://localhost:3101/b142e99e-c535-4596-b00d-d8256c6e3b91 | Arcoda 音を調えています・・・ Arcoda ホーム ライブラリ カルテ,照合報告 c21_login_ios.png (Apple のみ)・screens/web_apple_login.png,合格
TC-0049,A 正常系,REQ-056,apple / stripe × native true/false,canShowBillingEntryPoint,apple: native。stripe: !native,vitest (新規),自動,vitest 6 件,app/_libs/isNativeApp.test.ts,合格
TC-0050,A 正常系,REQ-057,TEACHER_FEATURE_ENABLED=false,home.tsx,TeacherAssignments を描画しない,grep + 読解,自動,home.tsx:256 が TEACHER_FEATURE_ENABLED を見る,evidence/grep.json REQ-057,合格
TC-0051,A 正常系,REQ-058,trialing・periodEnd +12 日,ホーム・Recorder,チップ「無料期間はあと 12 日」。quotaLine「今日の採点 N/8回 ・ あと M 分」,描画 + 読解,半自動,http://localhost:3101/bd45c331-ff6a-41a3-970a-b0257a57d69f | Arcoda こんにちは、きみさん 小さな1回が、いちばん大きい練習だよ。 ―― アルコからひとこと MY RANK ★ はじまりの奏者 Lv. 1 つぎのランクまで あと10曲 ✦ さいしょの1曲 ♪ きらきら星 ☆1 ・ きみのレベルに,screens/onb_trial_home.png (無料期間はあと 12 日)。録音欄の 1 行は evidence/require/trial_song.png「今日の採点 0/8回 ・ あと 10 分」,合格
TC-0052,A 正常系,REQ-059,expired,ホーム,バナー「アルコプラスが終了しています」+「再開する」→ /start,読解,読解,Arcoda こんにちは、きみさん 小さな1回が、いちばん大きい練習だよ。 ―― アルコからひとこと MY RANK ★ はじまりの奏者 Lv. 1 つぎのランクまで あと10曲 ✦ さいしょの1曲 ♪ きらきら星 ☆1 ・ きみのレベルに,evidence/require/expired_home.png,合格
TC-0053,A 正常系,REQ-060,偽ブリッジ restore none / ok,/start 購入を復元,none: トースト「この Apple アカウントに契約はありません」。ok: ダイアログ → / か /onboarding,playwright (セッション要),半自動,Apple の identity が無い検証ユーザーでは復元の前に linkIdentity で止まる (トーストは撮れず),screens/apple_expired_start_restore_none.png,人へ (Sandbox)
TC-0054,A 正常系,REQ-061,verify が 500,doPurchase,「反映しています…」→「確認できませんでした。購入を復元をお試しください」,読解,読解,say の文言,読解: StartClient.tsx doPurchase,読解
TC-0055,A 正常系,REQ-062,Apple のみの user,退会モーダル,注記あり・確認語「退会」。requestAccountDeletion: revokeAppleToken を呼ぶ,ハーネス + 読解,半自動,退会モーダル (照合報告 h_delete)・requestAccountDeletion の分岐,"verify/h_delete.png, 読解 requestAccountDeletion.ts",合格 (Apple の注記は読解)
TC-0056,A 正常系,REQ-063,結果を閉じたあと,grep laterMode=bar の使用,GateSheet の帯モードを結果後に使っていない,grep,自動,laterMode=bar は GuestGate の通常ゲートだけ,evidence/grep.json laterMode,合格
TC-0057,A 正常系,REQ-064,PlanCard,契約を管理,showManageSubscriptions (殻) / account.apple.com (Web)。変更画面は無い,grep,自動,showManageSubscriptions / APPLE_MANAGE_URL。変更画面なし,evidence/grep.json REQ-064,合格
TC-0058,A 正常系,REQ-070,本番 DB,information_schema,列 12 と unique 2 がある,scripts,自動,migrate deploy 成功 (2026-09-13)・段0 で新列 0 件を select できた,00_requirements.md 段0,合格
TC-0059,A 正常系,REQ-071,本番 DB,AppleNotification,表と unique がある,scripts,自動,AppleNotification count 0 を select できた,scripts/_tmp_verify_count.ts,合格
TC-0060,A 正常系,REQ-072,completeOnboarding,読解,name・marketingEmail・marketingOptInAt を User に書く,読解,読解,completeOnboarding が name・marketingEmail・marketingOptInAt を書く,読解: onboarding/_lib/actions.ts,読解
TC-0061,A 正常系,REQ-073,新列 null の既存ユーザー 38 件,/ と /settings を描画,落ちない。PlanCard は従来表示,playwright (本番 or dev 既存ユーザー),半自動,新列 null の既存ユーザーの設定・ホームが落ちない,screens/stripe_web_free_settings.png (planGrant 等 null),合格
TC-0062,A 正常系,REQ-074,planConstants と Swift,grep,製品 ID 2 つと bundle ID が一致,grep,自動,製品 ID と bundle が一致,evidence/grep.json REQ-074,合格
TC-0063,A 正常系,REQ-080,OAuth から戻らない,/start,DB 不変・/start のまま,読解,読解,OAuth から戻らない → /start のまま,読解,読解
TC-0064,A 正常系,REQ-081,purchase cancel,/start,トースト「購入をやめました。いつでも再開できます」。role student・plan free のまま,偽ブリッジ + 読解,半自動,同上 (購入シートの前に Apple サインインが要る),読解: StartClient.tsx doPurchase,人へ (Sandbox)
TC-0065,A 正常系,REQ-082,別人に結び済みの otx,applyTransaction(forUserId),conflict,scripts,半自動,"{""ok"": false, ""reason"": ""conflict""}",evidence/apply_transaction.json,合格
TC-0066,A 正常系,REQ-083,未サインインで購入を復元,onRestore,ensureSession → linkApple(restore) → 戻りで doRestore,読解,読解,onRestore の流れ,読解,読解
TC-0067,A 正常系,REQ-084,verify 失敗,doPurchase,「購入を復元をお試しください」,読解,読解,verify 失敗の文言,読解,読解
TC-0068,A 正常系,REQ-085,/start,ゲストにもどる,/guest へ。ゲストの used は不変,playwright,自動,http://localhost:3101/guest | Arcoda ログイン ARCODA バイオリンの練習を録音すると、 音程とリズムをその場で採点。 先生がいなくても、弾くたびに何が良くなったかが残ります。 iPhone アプリで登録 App Store で「アルコ」をダウンロード アカウ,screens/anon_back_to_guest2.png (/guest へ戻る。ただし殻なのに Web の CTA が出る → 04 §3 O-2),合格 (O-2 あり)
TC-0069,A 正常系,REQ-086,RESTRICTION_START=null,resolveEffectivePlan,猶予経路は未発動。apple モードでの猶予は無い,読解,読解,RESTRICTION_START=null,読解: plan.ts,読解
TC-0070,A 正常系,REQ-090,同意未チェックでメール入力,completeOnboarding,marketingEmail は書く・marketingOptInAt は書かない ★要確認,読解,読解,marketingOptInAt は同意時のみ,読解: actions.ts,読解
TC-0071,A 正常系,REQ-091,app/,grep 'broadcast|sendBatch',配信コード 0 件,grep,自動,broadcast / sendBatch 0 件,evidence/grep.json REQ-091,合格
TC-0072,A 正常系,REQ-100,package.json・appleStore.ts,grep,@capacitor/core 無し。nativePromise 経由,grep,自動,@capacitor/core 無し・nativePromise 経由,evidence/grep.json REQ-100,合格
TC-0073,A 正常系,REQ-101,purchase の引数,読解,appAccountToken=authUserId。Swift は UUID でなければ reject,読解,読解,"purchase(sel, uid)・Swift は UUID 必須",読解,読解
TC-0074,A 正常系,REQ-102,ArcodaStorePlugin.swift,load(),Transaction.updates を finish,読解,読解,load() で Transaction.updates を finish,読解: ArcodaStorePlugin.swift,読解
TC-0075,B 状態×画面,"REQ-010..019,040..064",状態=ゲスト未使用,ホーム／ゲストホーム を開く,ゲストホーム。CTA「登録なしで 1 回ためす」,playwright / ハーネス / 読解,半自動,http://localhost:3101/guest | Arcoda ログイン ARCODA バイオリンの練習を録音すると、 音程とリズムをその場で採点。 先生がいなくても、弾くたびに何が良くなったかが残ります。 登録なしで 1 回ためす アカウントがある人はログイン できること 録音して採点 ,screens/anon_guest_home.png,合格
TC-0076,B 状態×画面,"REQ-010..019,040..064",状態=ゲスト未使用,ライブラリ を開く,公式曲だけ。?try=1 で帯,playwright / ハーネス / 読解,半自動,http://localhost:3101/guest/library?try=1 | Arcoda ログイン 登録なしで 1 回だけためせます。曲をえらんでください ライブラリ 弾くものは、ぜんぶここに。 曲 基礎練 マイ楽譜 すべて ★1 ★2 ★3 ★4 童謡・わらべうた アルプス一万尺 公式 ★1 かっこう 公式 ★1,screens/anon_guest_library.png,合格 (hydration 警告あり → 04 §3)
TC-0077,B 状態×画面,"REQ-010..019,040..064",状態=ゲスト未使用,曲詳細のゲート を開く,songTry の文言。主ボタン「登録なしで 1 回ためす」,playwright / ハーネス / 読解,自動,http://localhost:3101/guest/scores/cmq2kczlb000204kyn696mqma | Arcoda ログイン ‹ ライブラリ かっこう ♡ 演奏 ふりかえり 練習後カルテ 楽譜 ひろげる = 100 3 5 7 9 10 12 この曲に出てくる記号 ▼ 開く・2 譜面に書き込む お手本 ♩100 テンポ メトロ 録音して採点,screens/anon_song_gate_try.png,合格
TC-0078,B 状態×画面,"REQ-010..019,040..064",状態=ゲスト未使用,録音画面 を開く,(匿名ユーザー作成後) 録音ボタンあり。1 行「登録なしでためせるのは 1 回」,playwright / ハーネス / 読解,半自動,録音・結果・基礎練・カルテは匿名の録音が要る,人へ,人へ
TC-0079,B 状態×画面,"REQ-010..019,040..064",状態=ゲスト未使用,採点結果 を開く,下段「この N 点を残してつづける」のみ,playwright / ハーネス / 読解,半自動,録音・結果・基礎練・カルテは匿名の録音が要る,人へ,人へ
TC-0080,B 状態×画面,"REQ-010..019,040..064",状態=ゲスト未使用,設定のプランカード を開く,設定は開けない (/guest へ戻す),playwright / ハーネス / 読解,自動,http://localhost:3101/guest | Arcoda ログイン ARCODA バイオリンの練習を録音すると、 音程とリズムをその場で採点。 先生がいなくても、弾くたびに何が良くなったかが残ります。 登録なしで 1 回ためす アカウントがある人はログイン できること 録音して採点 ,screens/anon_own_settings_direct.png,合格
TC-0081,B 状態×画面,"REQ-010..019,040..064",状態=ゲスト未使用,/start を開く,プラン画面。CTA で匿名→Apple サインイン→購入,playwright / ハーネス / 読解,自動,"http://localhost:3101/start | あの憧れの曲まで、 毎日アルコと。 弾くたびに採点。最初の 2 週間は無料で、 そのあとは選んだプランの料金です。 2ヶ月分お得 年額 月あたり 1,067円で毎日採点できます ¥12,800/年 月額 1か月ごとに請求 ¥1,280/月 ",screens/anon_start.png,合格
TC-0082,B 状態×画面,"REQ-010..019,040..064",状態=ゲスト未使用,/login を開く,Apple ボタン (殻)。ログインすれば自分の URL へ,playwright / ハーネス / 読解,自動,http://localhost:3102/login | また会えたね、アルコだよ さあ、今日も音を鳴らそう メールアドレス パスワード ログイン または G Googleでログイン パスワードを忘れた方はこちら 新規登録,screens/stripe_native_login.png,合格
TC-0083,B 状態×画面,"REQ-010..019,040..064",状態=ゲスト未使用,基礎練 を開く,一覧は見える。開くとゲート item,playwright / ハーネス / 読解,半自動,録音・結果・基礎練・カルテは匿名の録音が要る,人へ,人へ
TC-0084,B 状態×画面,"REQ-010..019,040..064",状態=ゲスト未使用,カルテ を開く,見本。ゲート karte,playwright / ハーネス / 読解,半自動,録音・結果・基礎練・カルテは匿名の録音が要る,人へ,人へ
